BlockGroup,Tract,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,MOS_bg
261635338002,26163533800,305,404,125,83,112,84,1.804182078390641
261635338001,26163533800,309,334,89,94,84,67,1.5053655880913068
261635338003,26163533800,266,341,96,69,97,79,1.521536576407781
261635338004,26163533800,304,366,100,99,127,40,1.6427948638928997
261635339001,26163533900,688,765,348,154,188,75,3.4228024014479144
261635339002,26163533900,698,676,266,103,185,122,3.002967439499115
261635339003,26163533900,941,1134,460,232,287,155,5.072183638211891
261635339004,26163533900,283,342,188,77,44,33,1.5413584543912642
261635341001,26163534100,435,430,107,108,137,78,1.9269597178966151
261635341002,26163534100,692,886,252,213,267,154,3.968933792490682
261635342001,26163534200,764,1076,307,260,296,213,4.8246843525872345
261635342002,26163534200,573,791,249,175,194,173,3.5426226324350507
261635342003,26163534200,295,390,114,84,118,74,1.7420311241669832
261635343001,26163534300,676,820,283,194,207,136,3.679320790734393
261635344001,26163534400,520,689,213,150,207,119,3.079124105768895
261635344002,26163534400,354,446,135,101,121,89,1.99686305920857
261635347001,26163534700,544,764,237,192,180,155,3.43453341600225
261635347002,26163534700,360,563,162,124,164,113,2.516968440345016
261635347003,26163534700,559,887,270,205,250,162,3.9722683964073733
261635348001,26163534800,324,462,151,106,114,91,2.071260548462385
261635348002,26163534800,523,676,194,172,165,145,3.0385676898428855
261635348003,26163534800,347,503,126,149,127,101,2.270522373066168
261635350001,26163535000,376,511,160,117,160,74,2.2858377871731497
261635350002,26163535000,431,711,222,191,175,123,3.201722414731457
261635350003,26163535000,434,586,179,141,129,137,2.632205088676084
261635351001,26163535100,351,500,183,100,127,90,2.2343005573308163
261635351002,26163535100,468,767,256,195,184,132,3.4495151021099835
261635352001,26163535200,425,597,191,150,142,114,2.683839616904783
261635352002,26163535200,632,919,326,237,202,154,4.138245394562433
261635112001,26163511200,705,921,344,219,195,163,4.139375636320314
261635112002,26163511200,31,19,7,8,4,0,0.08720737326261002
