Tract,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,MOS,pi_i
26163500100,1492,2752,1087,701,672,292,12.38321144712536,0.22990875999310104
26163500200,1076,2088,749,554,496,289,9.405579973244707,0.17462555960526868
26163500300,917,1464,598,375,354,137,6.589998205333058,0.12235100096724905
26163500400,406,551,143,166,146,96,2.487907778007688,0.04619090893030992
26163500500,644,1076,402,236,268,170,4.820135059499249,0.08949142791113368
26163500600,1178,1860,706,454,474,226,8.355191899599298,0.15512388021018586
26163500700,1679,2779,1008,778,702,291,12.534145075667826,0.2327110188035579
26163500800,1009,1784,636,483,471,194,8.034540203470986,0.14917060757478576
26163500900,1540,2573,940,679,647,307,11.584187996893586,0.21507395793609174
26163501000,1163,2029,752,497,521,259,9.113933608911493,0.1692108047763902
26163501100,1345,2287,850,573,514,350,10.289694705473934,0.19104018053348035
26163501200,766,1102,393,273,296,140,4.9491390598257,0.09188653760265793
26163501300,1308,2175,802,536,491,346,9.780552075392613,0.18158735391887898
26163501400,1505,2685,867,686,684,448,12.070555307498822,0.22410393418739663
26163501500,1578,2893,1027,823,701,342,13.058280195752614,0.24244219847710716
26163501600,907,1467,484,338,413,232,6.570826984625153,0.12199506490015304
26163501700,1045,1765,481,401,465,418,7.902675259975195,0.14672238113731217
26163501800,1896,3202,979,759,852,612,14.3565997446571,0.2665470148115424
26163501900,1112,1720,591,475,441,213,7.752014432627329,0.1439251871991336
26163502000,766,1289,437,357,346,149,5.807646810758645,0.10782573506401429
26163502600,1546,2318,747,563,514,494,10.415937027643224,0.19338401644975461
26163502700,1278,1852,506,429,560,357,8.286624032647017,0.15385083780646996
26163503100,1122,2221,708,506,611,396,9.945979361996532,0.18465870439161597
26163503200,1202,2068,783,572,498,215,9.328475202881178,0.1731940196352436
26163503300,1360,2308,805,644,547,312,10.412252958665588,0.1933156174133662
26163503400,494,673,203,178,190,102,3.025485321251147,0.0561716628643738
26163503500,1239,1937,681,510,473,273,8.720966639710348,0.16191491477297307
26163503600,643,1080,377,273,238,192,4.860002686488251,0.09023161689393884
26163503900,826,1265,433,287,298,247,5.672413456382967,0.10531497015081098
26163504000,469,772,249,215,168,140,3.483756207737558,0.06467999624000136
26163504100,611,895,266,208,250,171,4.008727953282609,0.07442670884076977
26163504200,875,1218,390,293,312,223,5.465725546647484,0.10147756809757526
26163504300,912,1402,428,342,353,279,6.293829629324336,0.1168522860054776
26163504400,715,1045,313,283,278,171,4.703513769178447,0.08732621766975682
26163505100,1441,2253,692,495,637,429,10.07625176042594,0.18707736337294065
26163505200,1340,2204,731,506,548,419,9.881131531236498,0.18345472879756738
26163505400,900,1417,459,352,351,255,6.366405992409529,0.11819975081401879
26163505600,1794,2992,980,706,806,500,13.414807712200776,0.24906154754984264
26163505700,1635,2299,611,540,631,517,10.298678000782651,0.19120696588588248
26163505800,1199,2221,857,555,470,339,9.997362992561323,0.18561270140907277
26163506100,744,1379,507,319,336,217,6.186772076297039,0.11486463769877642
26163506200,778,1353,447,323,333,250,6.072708421514723,0.11274691294350939
26163506300,826,1361,444,332,344,241,6.110821028537059,0.11345451793418762
26163506400,342,697,206,179,209,103,3.128724290582883,0.05808841471209705
26163506500,932,1459,423,362,408,266,6.546320888684624,0.12154008065361761
26163506600,1257,1970,629,468,529,344,8.833785724464246,0.16400953263442827
